"","model","measure","threshold","perf"
"1","Adaboost","fn",0,0
"2","Adaboost","fn",0.01,0
"3","Adaboost","fn",0.02,0
"4","Adaboost","fn",0.03,0
"5","Adaboost","fn",0.04,0
"6","Adaboost","fn",0.05,0
"7","Adaboost","fn",0.06,0
"8","Adaboost","fn",0.07,0
"9","Adaboost","fn",0.08,0
"10","Adaboost","fn",0.09,0
"11","Adaboost","fn",0.1,0
"12","Adaboost","fn",0.11,0
"13","Adaboost","fn",0.12,0
"14","Adaboost","fn",0.13,0
"15","Adaboost","fn",0.14,0
"16","Adaboost","fn",0.15,0
"17","Adaboost","fn",0.16,0
"18","Adaboost","fn",0.17,0
"19","Adaboost","fn",0.18,0
"20","Adaboost","fn",0.19,0
"21","Adaboost","fn",0.2,0
"22","Adaboost","fn",0.21,0
"23","Adaboost","fn",0.22,0
"24","Adaboost","fn",0.23,0
"25","Adaboost","fn",0.24,0
"26","Adaboost","fn",0.25,0
"27","Adaboost","fn",0.26,0
"28","Adaboost","fn",0.27,0
"29","Adaboost","fn",0.28,0
"30","Adaboost","fn",0.29,0
"31","Adaboost","fn",0.3,0
"32","Adaboost","fn",0.31,0
"33","Adaboost","fn",0.32,0
"34","Adaboost","fn",0.33,0
"35","Adaboost","fn",0.34,0
"36","Adaboost","fn",0.35,0
"37","Adaboost","fn",0.36,0
"38","Adaboost","fn",0.37,0
"39","Adaboost","fn",0.38,0
"40","Adaboost","fn",0.39,0
"41","Adaboost","fn",0.4,0
"42","Adaboost","fn",0.41,0
"43","Adaboost","fn",0.42,0
"44","Adaboost","fn",0.43,0
"45","Adaboost","fn",0.44,0
"46","Adaboost","fn",0.45,0
"47","Adaboost","fn",0.46,0
"48","Adaboost","fn",0.47,0
"49","Adaboost","fn",0.48,0
"50","Adaboost","fn",0.49,1
"51","Adaboost","fn",0.5,1
"52","Adaboost","fn",0.51,2.5
"53","Adaboost","fn",0.52,5
"54","Adaboost","fn",0.53,6.5
"55","Adaboost","fn",0.54,7
"56","Adaboost","fn",0.55,10.5
"57","Adaboost","fn",0.56,15
"58","Adaboost","fn",0.57,20.5
"59","Adaboost","fn",0.58,28.5
"60","Adaboost","fn",0.59,38
"61","Adaboost","fn",0.6,46.5
"62","Adaboost","fn",0.61,49.5
"63","Adaboost","fn",0.62,52.5
"64","Adaboost","fn",0.63,62.5
"65","Adaboost","fn",0.64,66.5
"66","Adaboost","fn",0.65,74
"67","Adaboost","fn",0.66,84
"68","Adaboost","fn",0.67,87
"69","Adaboost","fn",0.68,93.5
"70","Adaboost","fn",0.69,99
"71","Adaboost","fn",0.7,104
"72","Adaboost","fn",0.71,107
"73","Adaboost","fn",0.72,110.5
"74","Adaboost","fn",0.73,113.5
"75","Adaboost","fn",0.74,117
"76","Adaboost","fn",0.75,124
"77","Adaboost","fn",0.76,128.5
"78","Adaboost","fn",0.77,132
"79","Adaboost","fn",0.78,133
"80","Adaboost","fn",0.79,134
"81","Adaboost","fn",0.8,135
"82","Adaboost","fn",0.81,136.5
"83","Adaboost","fn",0.82,137
"84","Adaboost","fn",0.83,137
"85","Adaboost","fn",0.84,137
"86","Adaboost","fn",0.85,137
"87","Adaboost","fn",0.86,137
"88","Adaboost","fn",0.87,137
"89","Adaboost","fn",0.88,137
"90","Adaboost","fn",0.89,137
"91","Adaboost","fn",0.9,137
"92","Adaboost","fn",0.91,137
"93","Adaboost","fn",0.92,137
"94","Adaboost","fn",0.93,137
"95","Adaboost","fn",0.94,137
"96","Adaboost","fn",0.95,137
"97","Adaboost","fn",0.96,137
"98","Adaboost","fn",0.97,137
"99","Adaboost","fn",0.98,137
"100","Adaboost","fn",0.99,137
"101","Adaboost","fn",1,137
"102","Adaboost","fp",0,86
"103","Adaboost","fp",0.01,86
"104","Adaboost","fp",0.02,86
"105","Adaboost","fp",0.03,86
"106","Adaboost","fp",0.04,86
"107","Adaboost","fp",0.05,86
"108","Adaboost","fp",0.06,86
"109","Adaboost","fp",0.07,86
"110","Adaboost","fp",0.08,86
"111","Adaboost","fp",0.09,86
"112","Adaboost","fp",0.1,86
"113","Adaboost","fp",0.11,86
"114","Adaboost","fp",0.12,86
"115","Adaboost","fp",0.13,86
"116","Adaboost","fp",0.14,86
"117","Adaboost","fp",0.15,86
"118","Adaboost","fp",0.16,85.5
"119","Adaboost","fp",0.17,84
"120","Adaboost","fp",0.18,84
"121","Adaboost","fp",0.19,84
"122","Adaboost","fp",0.2,83
"123","Adaboost","fp",0.21,81
"124","Adaboost","fp",0.22,79.5
"125","Adaboost","fp",0.23,78.5
"126","Adaboost","fp",0.24,78
"127","Adaboost","fp",0.25,75.5
"128","Adaboost","fp",0.26,71
"129","Adaboost","fp",0.27,67.5
"130","Adaboost","fp",0.28,65.5
"131","Adaboost","fp",0.29,63
"132","Adaboost","fp",0.3,60.5
"133","Adaboost","fp",0.31,60
"134","Adaboost","fp",0.32,58
"135","Adaboost","fp",0.33,56
"136","Adaboost","fp",0.34,54
"137","Adaboost","fp",0.35,51
"138","Adaboost","fp",0.36,47
"139","Adaboost","fp",0.37,43.5
"140","Adaboost","fp",0.38,39.5
"141","Adaboost","fp",0.39,36
"142","Adaboost","fp",0.4,32.5
"143","Adaboost","fp",0.41,30.5
"144","Adaboost","fp",0.42,26
"145","Adaboost","fp",0.43,19
"146","Adaboost","fp",0.44,18
"147","Adaboost","fp",0.45,12.5
"148","Adaboost","fp",0.46,12
"149","Adaboost","fp",0.47,9.5
"150","Adaboost","fp",0.48,6.5
"151","Adaboost","fp",0.49,5
"152","Adaboost","fp",0.5,3.5
"153","Adaboost","fp",0.51,1.5
"154","Adaboost","fp",0.52,1
"155","Adaboost","fp",0.53,1
"156","Adaboost","fp",0.54,0.5
"157","Adaboost","fp",0.55,0
"158","Adaboost","fp",0.56,0
"159","Adaboost","fp",0.57,0
"160","Adaboost","fp",0.58,0
"161","Adaboost","fp",0.59,0
"162","Adaboost","fp",0.6,0
"163","Adaboost","fp",0.61,0
"164","Adaboost","fp",0.62,0
"165","Adaboost","fp",0.63,0
"166","Adaboost","fp",0.64,0
"167","Adaboost","fp",0.65,0
"168","Adaboost","fp",0.66,0
"169","Adaboost","fp",0.67,0
"170","Adaboost","fp",0.68,0
"171","Adaboost","fp",0.69,0
"172","Adaboost","fp",0.7,0
"173","Adaboost","fp",0.71,0
"174","Adaboost","fp",0.72,0
"175","Adaboost","fp",0.73,0
"176","Adaboost","fp",0.74,0
"177","Adaboost","fp",0.75,0
"178","Adaboost","fp",0.76,0
"179","Adaboost","fp",0.77,0
"180","Adaboost","fp",0.78,0
"181","Adaboost","fp",0.79,0
"182","Adaboost","fp",0.8,0
"183","Adaboost","fp",0.81,0
"184","Adaboost","fp",0.82,0
"185","Adaboost","fp",0.83,0
"186","Adaboost","fp",0.84,0
"187","Adaboost","fp",0.85,0
"188","Adaboost","fp",0.86,0
"189","Adaboost","fp",0.87,0
"190","Adaboost","fp",0.88,0
"191","Adaboost","fp",0.89,0
"192","Adaboost","fp",0.9,0
"193","Adaboost","fp",0.91,0
"194","Adaboost","fp",0.92,0
"195","Adaboost","fp",0.93,0
"196","Adaboost","fp",0.94,0
"197","Adaboost","fp",0.95,0
"198","Adaboost","fp",0.96,0
"199","Adaboost","fp",0.97,0
"200","Adaboost","fp",0.98,0
"201","Adaboost","fp",0.99,0
"202","Adaboost","fp",1,0
"203","Adaboost","ppv",0,0.61
"204","Adaboost","ppv",0.01,0.61
"205","Adaboost","ppv",0.02,0.61
"206","Adaboost","ppv",0.03,0.61
"207","Adaboost","ppv",0.04,0.61
"208","Adaboost","ppv",0.05,0.61
"209","Adaboost","ppv",0.06,0.61
"210","Adaboost","ppv",0.07,0.61
"211","Adaboost","ppv",0.08,0.61
"212","Adaboost","ppv",0.09,0.61
"213","Adaboost","ppv",0.1,0.61
"214","Adaboost","ppv",0.11,0.61
"215","Adaboost","ppv",0.12,0.61
"216","Adaboost","ppv",0.13,0.61
"217","Adaboost","ppv",0.14,0.61
"218","Adaboost","ppv",0.15,0.61
"219","Adaboost","ppv",0.16,0.615
"220","Adaboost","ppv",0.17,0.62
"221","Adaboost","ppv",0.18,0.62
"222","Adaboost","ppv",0.19,0.62
"223","Adaboost","ppv",0.2,0.62
"224","Adaboost","ppv",0.21,0.63
"225","Adaboost","ppv",0.22,0.63
"226","Adaboost","ppv",0.23,0.635
"227","Adaboost","ppv",0.24,0.64
"228","Adaboost","ppv",0.25,0.645
"229","Adaboost","ppv",0.26,0.66
"230","Adaboost","ppv",0.27,0.67
"231","Adaboost","ppv",0.28,0.675
"232","Adaboost","ppv",0.29,0.68
"233","Adaboost","ppv",0.3,0.695
"234","Adaboost","ppv",0.31,0.7
"235","Adaboost","ppv",0.32,0.7
"236","Adaboost","ppv",0.33,0.71
"237","Adaboost","ppv",0.34,0.715
"238","Adaboost","ppv",0.35,0.725
"239","Adaboost","ppv",0.36,0.745
"240","Adaboost","ppv",0.37,0.76
"241","Adaboost","ppv",0.38,0.775
